Joints
100
,,Ben_Johnston:World_Lower,,,,,,Ben_Johnston:World_Upper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm

Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
117,0,-7.41107,-11.289,1031.48,6.57226,-14.769,1156.74,-21.5551,-16.9276,1404.03,3.37421,95.6208,1331.45
118,0,-7.5773,-11.3102,1031.5,6.39914,-14.7742,1156.78,-21.7896,-16.9559,1404.04,2.34607,95.2251,1331.22
119,0,-7.75695,-11.3586,1031.52,6.19992,-14.7922,1156.81,-22.0022,-16.9661,1404.05,1.59445,94.9311,1331.14
120,0,-7.90411,-11.3989,1031.53,5.98674,-14.8237,1156.84,-22.2553,-16.9928,1404.06,1.29479,94.9008,1331.17
121,0,-8.05273,-11.4353,1031.54,5.7752,-14.8505,1156.87,-22.5467,-17.0243,1404.07,1.57815,95.2068,1331.32
122,0,-8.187,-11.4691,1031.54,5.54833,-14.8692,1156.91,-22.8596,-17.0367,1404.09,1.58318,95.3502,1331.42
123,0,-8.31123,-11.5003,1031.56,5.34839,-14.8639,1156.95,-23.1869,-17.0589,1404.12,1.67739,95.454,1331.49
124,0,-8.41905,-11.5283,1031.59,5.19705,-14.8666,1157,-23.4682,-17.0706,1404.16,1.57859,95.4796,1331.53
125,0,-8.48276,-11.5413,1031.62,5.05347,-14.8476,1157.06,-23.7507,-17.0737,1404.19,0.190132,94.9854,1331.42
126,0,-8.50441,-11.5503,1031.66,4.93418,-14.8084,1157.15,-24.096,-17.0937,1404.25,-0.290474,94.7942,1331.4
127,0,-8.48055,-11.5677,1031.69,4.83223,-14.788,1157.23,-24.5076,-17.1137,1404.3,-0.426272,94.8854,1331.31
128,0,-8.38759,-11.5877,1031.71,4.74349,-14.7777,1157.32,-24.9474,-17.1481,1404.39,-0.102764,95.2563,1331.63
129,0,-8.22588,-11.5873,1031.76,4.68771,-14.7704,1157.44,-25.3644,-17.1858,1404.52,-1.57867,94.6838,1331.85
130,0,-7.98081,-11.6054,1031.86,4.64479,-14.7754,1157.63,-25.8595,-17.2495,1404.73,-2.0929,94.6397,1332.14
131,0,-7.68864,-11.6426,1031.97,4.63491,-14.8004,1157.91,-26.4489,-17.3432,1404.95,-1.90692,95.0825,1332.62
132,0,-7.34713,-11.7401,1032.1,4.65989,-14.8293,1158.31,-27.0151,-17.3995,1405.23,-1.83151,95.3085,1333.04
133,0,-6.9139,-11.8694,1032.28,4.72902,-14.8907,1158.72,-27.6632,-17.4355,1405.56,-3.67438,94.6177,1333.04
