Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
146,0,-17.7347,409.666,1041.75,-12.9212,370.214,1237.8,52.4453,258.636,1466.07,-74.6831,241.602,1379.4
147,0,-15.6434,406.047,1041.02,-13.5257,370.462,1235.96,46.3196,265.337,1468.4,-78.6072,246.016,1379.13
148,0,-13.4587,402.48,1040.26,-13.9376,370.547,1233.87,42.0463,268.853,1469.47,-82.3167,250.094,1378.46
149,0,-11.2954,399.039,1039.39,-14.2026,370.508,1231.59,37.0719,273.808,1470.49,-85.8366,254.071,1377.12
150,0,-9.03388,395.726,1038.47,-14.2841,370.338,1229.18,32.1332,278.856,1471.11,-89.0454,257.726,1375.56
151,0,-6.80798,392.494,1037.56,-14.2383,370.01,1226.6,27.7276,283.272,1471.19,-92.045,261.188,1373.64
152,0,-4.534,389.283,1036.68,-14.1538,369.558,1223.97,23.2458,287.802,1471.05,-94.8217,264.384,1371.52
153,0,-2.34535,385.995,1035.87,-13.9533,369.064,1221.25,18.9937,292.044,1470.59,-97.4175,267.351,1369.3
154,0,-0.260683,382.832,1035.11,-13.6434,368.332,1218.49,14.9854,296.036,1469.84,-99.804,270.057,1366.91
155,0,1.66771,379.657,1034.48,-13.2837,367.548,1215.78,11.147,299.773,1468.87,-102.013,272.527,1364.44
156,0,3.45463,376.583,1033.86,-12.8602,366.623,1213.09,7.56376,303.286,1467.65,-103.996,274.732,1361.88
157,0,5.09954,373.641,1033.34,-12.3851,365.57,1210.52,4.25295,306.607,1466.28,-105.79,276.717,1359.23
158,0,6.64187,370.764,1032.88,-11.9337,364.474,1208,1.12726,309.716,1464.78,-107.486,278.455,1356.51
159,0,8.03286,367.936,1032.37,-11.4745,363.378,1205.56,-1.7698,312.539,1463.18,-109.05,280.04,1353.85
160,0,9.40835,365.463,1031.92,-11.0615,362.327,1203.23,-4.45873,315.111,1461.54,-110.551,281.444,1351.26
161,0,10.7715,363.121,1031.51,-10.6534,361.295,1201.02,-6.90804,317.452,1459.93,-111.903,282.68,1348.81
162,0,12.1754,361.212,1031.16,-10.2755,360.278,1199,-9.20758,319.606,1458.35,-113.167,283.668,1346.49
163,0,13.5894,359.554,1030.85,-9.79912,359.31,1197.15,-11.3273,321.52,1456.8,-114.292,284.59,1344.31
164,0,14.913,358.104,1030.58,-9.31396,358.452,1195.38,-13.2481,323.218,1455.29,-115.33,285.326,1342.21
165,0,16.2518,356.838,1030.31,-8.7415,357.605,1193.76,-15.0138,324.746,1453.9,-116.204,286.028,1340.3
